name,service,phone,city,area,rating
Anant Bhat (Purohit),Events 🎉,+91 98450 11223,Bagalkot,Navanagar,4.9
Ramesh Kumbar (Plumber),Home Repair 🔧,+91 94481 22334,Bagalkot,Vidyagiri,4.8
Suresh Patil (Electrician),Home Repair 🔧,+91 98802 33445,Bagalkot,Old Bagalkot,4.9
Lakshmi Hegde (Beautician),Personal Care ✂️,+91 97413 44556,Bagalkot,Navanagar Sector 3,4.7
Basavaraj (Mixie & Appliance),Home Repair 🔧,+91 99004 55667,Bagalkot,Bus Stand Road,4.8
Santosh Barber (Men Haircut),Personal Care ✂️,+91 98451 66778,Bagalkot,Vidyagiri Main Road,4.8
Yellappa (Septic Tank Cleaning),Labour & Cleaning 🧹,+91 99805 77889,Bagalkot,Muchakhandi Cross,4.9
Manjunath Decorators,Events 🎉,+91 94490 88990,Bagalkot,Navanagar Sector 10,4.9
Shivalingappa Caterers,Events 🎉,+91 97312 99001,Bagalkot,Old Bagalkot,4.8
Ganesh Woodworks,Home Repair 🔧,+91 98803 11122,Bagalkot,BVVS Campus Road,4.7
Prof. Kulkarni (Math Tutor),Education 📚,+91 94480 33221,Bagalkot,Vidyagiri,4.9
Ningappa Painters,Home Repair 🔧,+91 98452 77112,Bagalkot,Navanagar,4.8
Iranna Plumbing Works,Home Repair 🔧,+91 90080 11224,Hospete,Station Road,4.7
Fatima Beauty Parlour,Personal Care ✂️,+91 90080 22335,Hospete,Hampi Road,4.8
